"";"column_name";"profile_module_used";"parent_column_names"
"1";"price_in_dollar";NA;NA
"2";"distance";NA;NA
"3";"volume";NA;NA
"4";"weight";NA;NA
"5";"lat_to";NA;NA
"6";"lat_from";NA;NA
"7";"long_to";NA;NA
"8";"long_from";NA;NA
"9";"money_transfer_form";NA;NA
"10";"payment";NA;NA
"11";"cargo_price";NA;NA
"12";"car_type";NA;NA
"13";"duration";NA;NA
"14";"calendar";NA;NA
"15";"two_loadings.x";NA;NA
"16";"two_loadings.y";NA;NA
"17";"diesel_price";NA;NA
"18";"dollar";NA;NA
"19";"cargo_type";NA;NA
